id,question,responses,strongly agree,agree,neither agree or disagree,disagree,strongly disagree,abstain,comment
1,Manual image segmentation is a necessary feature for a manual labeling tool.,12,5,4,3,0,0,0,
2,Drawing of bounding boxes is a necessary requirement of a manual labeling tool,12,9,2,1,0,0,0,
3,"Other labels such as lines, multi-segment lines and circles are a necessary requirement for a manual labeling tool",12,3,8,1,0,0,0,
4,3d labels should be supported,12,1,0,7,0,0,4,
5,"The labeling process should be simple, fast, and intuitive",10,10,0,0,0,0,0,
6,Management of metadata is a necessary requirement of a labeling tool,10,7,2,1,0,0,0,
7,support for for different color spaces is a necessary requirement of a labeling tool,11,3,3,5,0,0,0,
8,Collaboration is a necessary requirement of a labeling tool,10,5,3,2,0,0,0,
9,sharing with other teams is a necessary requirement of a labeling tool,10,4,4,2,0,0,0,
10,Good management of datasets (good overview/ tags / sorting) is a necessary requirement of a labeling tool,11,7,3,1,0,0,0,
11,support for https://dvc.org/ is required,11,3,2,6,0,0,0,
12,Verification of labeled data is a necessary requirement of a labeling tool,11,5,4,2,0,0,0,
13,import of automatically generated or existing labels is a necessary requirement of a labeling tool,11,7,4,0,0,0,0,
14,The image annotation tool should be a hosted web app,11,0,7,4,0,0,0,
15,automatic labeling should be done in the cloud,11,1,1,5,4,0,0,
16,a fast switch between verification and editing of annotations is required,11,4,5,2,0,0,0,
17,false positives and false negatives should be specially highlighted to allow a feedback loop for automatic labeling,8,2,4,2,0,0,0,
18,the annotation tool should (if hosted online) support an API or webhooks,7,2,2,3,0,0,0,
19,Uploading or generation of synthetic data is required,8,0,1,6,1,0,0,threre was some confusion about this question
20,stereo images should be supported,8,1,0,7,0,0,0,
21,annotations should be exportable in various formats,8,3,3,0,2,0,0,
22,datasets should be versioned,8,4,3,1,0,0,0,
23,synchronization with a git repository of label data should be possible,8,0,2,6,0,0,0,
24,"labeling jobs (specifying who, which images, which labels) should exist",8,1,2,3,2,0,0,
25,who labeled and who verified (reviewed) should be displayed,8,1,4,2,1,0,0,
26,relabeling previously generated data should be supported,9,5,4,0,0,0,0,
27,merging of labels of different classification systems should be supported,8,2,4,2,0,0,0,
28,"conversion between annotation types (segmentation -> bounding box, bounding_box-> circle) should be possible",8,2,4,0,2,0,0,
